"res_type","state_fips","station_id","direct_of_travel","lane_of_travel","year","func_class_code","num_lanes_direc_indicated","sample_type_for_traffic_vol","num_lanes_monitored_for_traffic_vol","method_of_traffic_vol_counting","sample_type_for_vehicle_class","num_lanes_monitored_for_vehicle_class","method_of_vehicle_class","alg_for_vehicle_class","class_sys_for_vehicle_class","sample_type_for_truck_weight","num_lanes_monitored_for_truck_weight","method_of_truck_weighing","calibration_of_weighing_sys","method_of_data_retrieval","type_of_sensor","second_type_of_sensor","primary_purpose","lrs_identification","lrs_location_point","latitude","longitude","shrp_site_identification","prev_station_id","year_station_established","year_station_discontinued","fips_county_code","hpms_sample_type","hpms_sample_identifier","national_highway_sys","posted_route_sign","posted_sign_route_num","concurrent_route_signing","concurrent_signed_route_num","station_location"
S,37,0W7801,1,1,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000002978,016729,36381000,079611800,7802,      ,97,02,157,N,            ,Y,2,00000029,0,00000000,1.70 MILES NORTH OF US 158                        
S,37,0W7801,1,2,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000002978,016729,36381000,079611800,7802,      ,97,02,157,N,            ,Y,2,00000029,0,00000000,1.70 MILES NORTH OF US 158                        
S,37,0W7803,1,3,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000022078,016804,36400600,079938700,7803,      ,03,08,157,N,            ,Y,2,00000220,2,00000311,1.10 MILES SOUTH OF US 311                        
S,37,0W7803,1,4,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000022078,016804,36400600,079938700,7803,      ,03,08,157,N,            ,Y,2,00000220,2,00000311,1.10 MILES SOUTH OF US 311                        
S,37,0W7803,5,1,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000022078,016804,36400600,079938700,7803,      ,03,08,157,N,            ,Y,2,00000220,2,00000311,1.10 MILES SOUTH OF US 311                        
S,37,0W7803,5,2,13,02,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000022078,016804,36400600,079938700,7803,      ,03,08,157,N,            ,Y,2,00000220,2,00000311,1.10 MILES SOUTH OF US 311                        
S,37,0W8201,3,3,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000007482,015159,34775300,079497400,8201,      ,04,11,165,N,            ,Y,2,00000074,0,00000000,0.10 MILES EAST OF NC 79 (GIBSON RD)              
S,37,0W8201,3,4,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000007482,015159,34775300,079497400,8201,      ,04,11,165,N,            ,Y,2,00000074,0,00000000,0.10 MILES EAST OF NC 79 (GIBSON RD)              
S,37,0W8201,7,1,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000007482,015159,34775300,079497400,8201,      ,04,11,165,N,            ,Y,2,00000074,0,00000000,0.10 MILES EAST OF NC 79 (GIBSON RD)              
S,37,0W8201,7,2,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000007482,015159,34775300,079497400,8201,      ,04,11,165,N,            ,Y,2,00000074,0,00000000,0.10 MILES EAST OF NC 79 (GIBSON RD)              
S,37,0W9101,7,1,13,11,3, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000004091,014179,35781800,078749300,9102,      ,00,07,183,Y,000000100091,Y,1,00000040,0,00000000,0.80 MILES EAST OF NC 54 (CHAPEL HILL RD)         
S,37,0W9101,7,2,13,11,3, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000004091,014179,35781800,078749300,9102,      ,00,07,183,Y,000000100091,Y,1,00000040,0,00000000,0.80 MILES EAST OF NC 54 (CHAPEL HILL RD)         
S,37,0W9201,1,1,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000008592,015765,36535800,078190100,9201,      ,00,08,185,N,            ,Y,1,00000085,0,00000000,0.10 MILES EAST OF US 1                           
S,37,0W9201,1,2,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000008592,015765,36535800,078190100,9201,      ,00,08,185,N,            ,Y,1,00000085,0,00000000,0.10 MILES EAST OF US 1                           
S,37,0W9201,5,3,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000008592,015765,36535800,078190100,9201,      ,00,08,185,Y,000000102284,Y,1,00000085,0,00000000,0.10 MILES EAST OF US 1                           
S,37,0W9201,5,4,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000008592,015765,36535800,078190100,9201,      ,00,08,185,Y,000000102284,Y,1,00000085,0,00000000,0.10 MILES EAST OF US 1                           
